measurement_id,target_uri,target_name,target_type,target_category,variable_uri,variable_name,variable_unit,value,date,confidence,measurement_method,operator,treatment,block,replicate,notes
DEMO_000013,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0318,Block1-Salt-Rep04-Plant3,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#fresh_biomass,Fresh Biomass,g,325.74,2025-05-07 05:01:35,0.913,Remote sensing,researcher_01,Salt,N/A,N/A,Demo measurement day 1 - Fresh Biomass
DEMO_000014,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block6-high-n-rep08,Block6-High-N-Rep08,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#photosynthesis_rate,Photosynthesis Rate,μmol/m²/s,17.03,2025-05-07 04:40:27,0.926,Remote sensing,researcher_03,High-N,6,8,Demo measurement day 1 - Photosynthesis Rate
DEMO_000015,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block6-control-rep02,Block6-Control-Rep02,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#wind_speed,Wind Speed,m/s,4.28,2025-05-06 23:04:38,0.947,Manual,researcher_01,Control,6,2,Demo measurement day 1 - Wind Speed
DEMO_000016,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block2-low-n-rep04,Block2-Low-N-Rep04,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#soil_moisture,Soil Moisture,%,73.4,2025-05-06 20:29:41,0.853,Manual,field_team,Low-N,2,4,Demo measurement day 1 - Soil Moisture
DEMO_000017,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0772,Block3-Drought-Rep05-Plant2,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#plant_height,Plant Height,cm,99.3,2025-05-06 19:55:35,0.938,Manual,sensor_system,Drought,N/A,N/A,Demo measurement day 1 - Plant Height
DEMO_000018,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block6-drought-rep09,Block6-Drought-Rep09,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#fresh_biomass,Fresh Biomass,g,631.37,2025-05-07 04:40:56,0.948,Automated,sensor_system,Drought,6,9,Demo measurement day 1 - Fresh Biomass
DEMO_000019,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block6-salt-rep03,Block6-Salt-Rep03,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#soil_pH,Soil pH,pH,7.0,2025-05-07 03:15:11,0.937,Manual,sensor_system,Salt,6,3,Demo measurement day 1 - Soil pH
DEMO_000020,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0278,Block1-Cold-Rep06-Plant3,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#plant_height,Plant Height,cm,100.8,2025-05-07 00:53:33,0.889,Semi-automated,researcher_02,Cold,N/A,N/A,Demo measurement day 1 - Plant Height
DEMO_000021,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0728,Block3-Control-Rep06-Plant3,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#stomatal_conductance,Stomatal Conductance,mol/m²/s,0.81,2025-05-06 23:19:58,0.947,Manual,field_team,Control,N/A,N/A,Demo measurement day 1 - Stomatal Conductance
DEMO_000022,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0187,Block1-Low-N-Rep08-Plant2,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#plant_height,Plant Height,cm,36.3,2025-05-07 00:43:44,0.889,Semi-automated,researcher_02,Low-N,N/A,N/A,Demo measurement day 1 - Plant Height
DEMO_000023,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block6-heat-rep06,Block6-Heat-Rep06,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#plant_height,Plant Height,cm,88.6,2025-05-07 06:54:36,0.893,Manual,researcher_03,Heat,6,6,Demo measurement day 1 - Plant Height
DEMO_000024,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0159,Block1-Low-N-Rep02-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#fresh_biomass,Fresh Biomass,g,640.3,2025-05-06 16:19:49,0.949,Automated,researcher_03,Low-N,N/A,N/A,Demo measurement day 1 - Fresh Biomass
DEMO_000025,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0207,Block1-Heat-Rep02-Plant2,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_count,Leaf Count,count,22.0,2025-05-06 22:26:15,0.897,Semi-automated,researcher_03,Heat,N/A,N/A,Demo measurement day 1 - Leaf Count
DEMO_000026,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0539,Block2-Low-N-Rep08-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#stomatal_conductance,Stomatal Conductance,mol/m²/s,0.21,2025-05-06 22:13:43,0.941,Remote sensing,researcher_01,Low-N,N/A,N/A,Demo measurement day 1 - Stomatal Conductance
DEMO_000027,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block7-cold-rep05,Block7-Cold-Rep05,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#water_use_efficiency,Water Use Efficiency,μmol/mmol,3.21,2025-05-06 19:11:47,0.936,Remote sensing,researcher_03,Cold,7,5,Demo measurement day 1 - Water Use Efficiency
DEMO_000028,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block7-cold-rep01,Block7-Cold-Rep01,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#soil_temperature,Soil Temperature,°C,28.3,2025-05-07 04:43:06,0.962,Remote sensing,field_team,Cold,7,1,Demo measurement day 1 - Soil Temperature
DEMO_000029,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0710,Block3-Control-Rep02-Plant5,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#dry_biomass,Dry Biomass,g,96.85,2025-05-07 05:59:39,0.945,Remote sensing,researcher_02,Control,N/A,N/A,Demo measurement day 1 - Dry Biomass
DEMO_000030,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0744,Block3-Control-Rep09-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#stomatal_conductance,Stomatal Conductance,mol/m²/s,0.91,2025-05-07 01:05:35,0.967,Semi-automated,field_team,Control,N/A,N/A,Demo measurement day 1 - Stomatal Conductance
DEMO_000031,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0160,Block1-Low-N-Rep02-Plant5,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_area_index,Leaf Area Index,m²/m²,6.47,2025-05-07 01:57:53,0.963,Semi-automated,researcher_03,Low-N,N/A,N/A,Demo measurement day 1 - Leaf Area Index
DEMO_000032,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0060,Block1-Drought-Rep02-Plant5,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#root_length,Root Length,cm,18.1,2025-05-06 18:31:50,0.94,Automated,researcher_02,Drought,N/A,N/A,Demo measurement day 1 - Root Length
DEMO_000033,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0821,Block3-High-N-Rep05-Plant1,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#dry_biomass,Dry Biomass,g,106.46,2025-05-07 05:12:11,0.95,Automated,researcher_01,High-N,N/A,N/A,Demo measurement day 1 - Dry Biomass
DEMO_000034,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0318,Block1-Salt-Rep04-Plant3,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#fresh_biomass,Fresh Biomass,g,367.26,2025-05-06 19:44:13,0.939,Semi-automated,sensor_system,Salt,N/A,N/A,Demo measurement day 1 - Fresh Biomass
DEMO_000035,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0161,Block1-Low-N-Rep03-Plant1,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#plant_height,Plant Height,cm,40.7,2025-05-07 05:47:11,0.966,Automated,researcher_02,Low-N,N/A,N/A,Demo measurement day 1 - Plant Height
DEMO_000036,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block6-cold-rep06,Block6-Cold-Rep06,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_count,Leaf Count,count,30.0,2025-05-07 06:41:41,0.888,Semi-automated,researcher_02,Cold,6,6,Demo measurement day 1 - Leaf Count
DEMO_000037,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0938,Block3-Heat-Rep08-Plant3,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#dry_biomass,Dry Biomass,g,134.05,2025-05-07 03:15:52,0.886,Semi-automated,field_team,Heat,N/A,N/A,Demo measurement day 1 - Dry Biomass
DEMO_000038,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block3-heat-rep08,Block3-Heat-Rep08,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#wind_speed,Wind Speed,m/s,0.3,2025-05-07 04:22:29,0.956,Semi-automated,researcher_03,Heat,3,8,Demo measurement day 1 - Wind Speed
DEMO_000039,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block7-cold-rep02,Block7-Cold-Rep02,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_count,Leaf Count,count,69.0,2025-05-06 22:21:33,0.892,Manual,researcher_02,Cold,7,2,Demo measurement day 1 - Leaf Count
DEMO_000040,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0519,Block2-Low-N-Rep04-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_area_index,Leaf Area Index,m²/m²,2.15,2025-05-06 22:51:45,0.976,Automated,sensor_system,Low-N,N/A,N/A,Demo measurement day 1 - Leaf Area Index
DEMO_000041,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block6-salt-rep03,Block6-Salt-Rep03,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_count,Leaf Count,count,23.0,2025-05-07 05:59:01,0.927,Automated,researcher_01,Salt,6,3,Demo measurement day 1 - Leaf Count
DEMO_000042,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0533,Block2-Low-N-Rep07-Plant3,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#dry_biomass,Dry Biomass,g,15.68,2025-05-06 16:06:37,0.912,Semi-automated,researcher_03,Low-N,N/A,N/A,Demo measurement day 1 - Dry Biomass
DEMO_000043,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0569,Block2-Heat-Rep04-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#water_use_efficiency,Water Use Efficiency,μmol/mmol,5.06,2025-05-07 01:54:42,0.892,Manual,field_team,Heat,N/A,N/A,Demo measurement day 1 - Water Use Efficiency
DEMO_000044,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0229,Block1-Heat-Rep06-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#fresh_biomass,Fresh Biomass,g,127.52,2025-05-06 19:56:23,0.863,Manual,researcher_02,Heat,N/A,N/A,Demo measurement day 1 - Fresh Biomass
DEMO_000045,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block5-heat-rep02,Block5-Heat-Rep02,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#fresh_biomass,Fresh Biomass,g,677.2,2025-05-06 21:53:16,0.877,Manual,researcher_03,Heat,5,2,Demo measurement day 1 - Fresh Biomass
DEMO_000046,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0356,Block2-Control-Rep02-Plant1,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_area_index,Leaf Area Index,m²/m²,7.37,2025-05-07 04:01:08,0.981,Automated,sensor_system,Control,N/A,N/A,Demo measurement day 1 - Leaf Area Index
DEMO_000047,http://www.phenome-fppn.fr/platform/diaphen/2024/sensor-weather-15,Weather-Sensor-15,http://www.opensilex.org/vocabulary/oeso#SensingDevice,sensor,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#air_temperature,Air Temperature,°C,12.0,2025-05-07 01:20:49,0.936,Manual,field_team,None,N/A,N/A,Demo measurement day 1 - Air Temperature
DEMO_000048,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0314,Block1-Salt-Rep03-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#plant_height,Plant Height,cm,61.5,2025-05-07 06:43:34,0.957,Remote sensing,sensor_system,Salt,N/A,N/A,Demo measurement day 1 - Plant Height
DEMO_000049,http://www.phenome-fppn.fr/platform/diaphen/2024/sensor-co2-06,CO2-Sensor-06,http://www.opensilex.org/vocabulary/oeso#SensingDevice,sensor,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#relative_humidity,Relative Humidity,%,50.6,2025-05-06 19:22:45,0.967,Semi-automated,field_team,None,N/A,N/A,Demo measurement day 1 - Relative Humidity
DEMO_000050,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block6-salt-rep06,Block6-Salt-Rep06,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#dry_biomass,Dry Biomass,g,32.97,2025-05-07 00:41:31,0.883,Semi-automated,researcher_01,Salt,6,6,Demo measurement day 1 - Dry Biomass
DEMO_000051,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block5-low-n-rep06,Block5-Low-N-Rep06,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#soil_moisture,Soil Moisture,%,81.3,2025-05-06 23:27:55,0.873,Manual,researcher_03,Low-N,5,6,Demo measurement day 1 - Soil Moisture
DEMO_000052,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block4-control-rep01,Block4-Control-Rep01,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#soil_temperature,Soil Temperature,°C,20.6,2025-05-07 06:38:57,0.941,Automated,researcher_03,Control,4,1,Demo measurement day 1 - Soil Temperature
DEMO_000053,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block2-low-n-rep01,Block2-Low-N-Rep01,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#light_intensity,Light Intensity,μmol/m²/s,1506.43,2025-05-06 16:53:12,0.95,Manual,researcher_02,Low-N,2,1,Demo measurement day 1 - Light Intensity
DEMO_000054,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block1-control-rep07,Block1-Control-Rep07,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#chlorophyll_content,Chlorophyll Content,SPAD,20.47,2025-05-07 06:03:55,0.961,Automated,sensor_system,Control,1,7,Demo measurement day 1 - Chlorophyll Content
DEMO_000055,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0651,Block2-Salt-Rep01-Plant1,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#water_use_efficiency,Water Use Efficiency,μmol/mmol,2.72,2025-05-06 21:49:57,0.855,Manual,researcher_03,Salt,N/A,N/A,Demo measurement day 1 - Water Use Efficiency
DEMO_000056,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block1-cold-rep10,Block1-Cold-Rep10,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#soil_pH,Soil pH,pH,6.0,2025-05-06 20:27:48,0.875,Manual,researcher_02,Cold,1,10,Demo measurement day 1 - Soil pH
DEMO_000057,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0770,Block3-Drought-Rep04-Plant5,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_area_index,Leaf Area Index,m²/m²,6.44,2025-05-07 05:22:46,0.9,Manual,researcher_02,Drought,N/A,N/A,Demo measurement day 1 - Leaf Area Index
DEMO_000058,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0518,Block2-Low-N-Rep04-Plant3,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#fresh_biomass,Fresh Biomass,g,696.14,2025-05-06 20:53:00,0.89,Semi-automated,sensor_system,Low-N,N/A,N/A,Demo measurement day 1 - Fresh Biomass
DEMO_000059,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0671,Block2-Salt-Rep05-Plant1,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_count,Leaf Count,count,13.0,2025-05-07 04:32:15,0.92,Semi-automated,researcher_02,Salt,N/A,N/A,Demo measurement day 1 - Leaf Count
DEMO_000060,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0984,Block3-Cold-Rep07-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#water_use_efficiency,Water Use Efficiency,μmol/mmol,6.26,2025-05-06 18:31:04,0.898,Remote sensing,researcher_03,Cold,N/A,N/A,Demo measurement day 1 - Water Use Efficiency
DEMO_000061,http://www.phenome-fppn.fr/platform/diaphen/2024/sensor-weather-01,Weather-Sensor-01,http://www.opensilex.org/vocabulary/oeso#SensingDevice,sensor,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#co2_concentration,CO2 Concentration,ppm,1151.73,2025-05-06 17:41:12,0.923,Remote sensing,field_team,None,N/A,N/A,Demo measurement day 1 - CO2 Concentration
DEMO_000062,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0254,Block1-Cold-Rep01-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#root_length,Root Length,cm,36.3,2025-05-06 18:49:40,0.914,Semi-automated,sensor_system,Cold,N/A,N/A,Demo measurement day 1 - Root Length
DEMO_000063,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0905,Block3-Heat-Rep01-Plant5,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#stomatal_conductance,Stomatal Conductance,mol/m²/s,0.26,2025-05-06 21:10:04,0.92,Semi-automated,researcher_03,Heat,N/A,N/A,Demo measurement day 1 - Stomatal Conductance
DEMO_000064,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0318,Block1-Salt-Rep04-Plant3,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#dry_biomass,Dry Biomass,g,42.29,2025-05-06 20:05:13,0.868,Manual,researcher_03,Salt,N/A,N/A,Demo measurement day 1 - Dry Biomass
DEMO_000065,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0852,Block3-Low-N-Rep01-Plant2,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#stomatal_conductance,Stomatal Conductance,mol/m²/s,0.29,2025-05-07 01:19:46,0.978,Automated,field_team,Low-N,N/A,N/A,Demo measurement day 1 - Stomatal Conductance
DEMO_000066,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0725,Block3-Control-Rep05-Plant5,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#dry_biomass,Dry Biomass,g,87.32,2025-05-06 18:45:39,0.871,Manual,sensor_system,Control,N/A,N/A,Demo measurement day 1 - Dry Biomass
DEMO_000067,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0275,Block1-Cold-Rep05-Plant5,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#plant_height,Plant Height,cm,82.5,2025-05-07 01:36:37,0.887,Semi-automated,researcher_01,Cold,N/A,N/A,Demo measurement day 1 - Plant Height
DEMO_000068,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0557,Block2-Heat-Rep02-Plant2,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#stomatal_conductance,Stomatal Conductance,mol/m²/s,0.85,2025-05-06 23:20:49,0.909,Semi-automated,researcher_01,Heat,N/A,N/A,Demo measurement day 1 - Stomatal Conductance
DEMO_000069,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0799,Block3-Drought-Rep10-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#stomatal_conductance,Stomatal Conductance,mol/m²/s,0.94,2025-05-07 06:30:31,0.949,Automated,researcher_01,Drought,N/A,N/A,Demo measurement day 1 - Stomatal Conductance
DEMO_000070,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0271,Block1-Cold-Rep05-Plant1,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#water_use_efficiency,Water Use Efficiency,μmol/mmol,2.7,2025-05-07 04:50:30,0.895,Remote sensing,researcher_03,Cold,N/A,N/A,Demo measurement day 1 - Water Use Efficiency
