measurement_id,target_uri,target_name,target_type,target_category,variable_uri,variable_name,variable_unit,value,date,confidence,measurement_method,operator,treatment,block,replicate,notes
DEMO_000019,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block5-control-rep07,Block5-Control-Rep07,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_count,Leaf Count,count,40.0,2025-05-01 03:17:21,0.88,Semi-automated,field_team,Control,5,7,Demo measurement day 1 - Leaf Count
DEMO_000020,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block1-control-rep02,Block1-Control-Rep02,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#light_intensity,Light Intensity,μmol/m²/s,1112.7,2025-05-01 05:49:29,0.961,Automated,researcher_01,Control,1,2,Demo measurement day 1 - Light Intensity
DEMO_000021,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0096,Block1-Drought-Rep10-Plant1,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#dry_biomass,Dry Biomass,g,42.04,2025-05-01 04:59:51,0.898,Remote sensing,sensor_system,Drought,N/A,N/A,Demo measurement day 1 - Dry Biomass
DEMO_000022,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0872,Block3-Low-N-Rep05-Plant2,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_area_index,Leaf Area Index,m²/m²,7.79,2025-04-30 21:18:13,0.894,Remote sensing,researcher_03,Low-N,N/A,N/A,Demo measurement day 1 - Leaf Area Index
DEMO_000023,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0160,Block1-Low-N-Rep02-Plant5,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_count,Leaf Count,count,48.0,2025-04-30 17:19:02,0.873,Manual,researcher_03,Low-N,N/A,N/A,Demo measurement day 1 - Leaf Count
DEMO_000024,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0717,Block3-Control-Rep04-Plant2,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#stomatal_conductance,Stomatal Conductance,mol/m²/s,0.43,2025-04-30 21:05:46,0.936,Remote sensing,researcher_03,Control,N/A,N/A,Demo measurement day 1 - Stomatal Conductance
DEMO_000025,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0067,Block1-Drought-Rep04-Plant2,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_area_index,Leaf Area Index,m²/m²,4.57,2025-04-30 21:13:35,0.951,Semi-automated,researcher_01,Drought,N/A,N/A,Demo measurement day 1 - Leaf Area Index
DEMO_000026,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block5-cold-rep05,Block5-Cold-Rep05,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_area_index,Leaf Area Index,m²/m²,5.09,2025-04-30 23:22:14,0.936,Manual,field_team,Cold,5,5,Demo measurement day 1 - Leaf Area Index
DEMO_000027,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block6-heat-rep04,Block6-Heat-Rep04,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_count,Leaf Count,count,22.0,2025-04-30 23:16:39,0.936,Automated,researcher_02,Heat,6,4,Demo measurement day 1 - Leaf Count
DEMO_000028,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0575,Block2-Heat-Rep05-Plant5,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#plant_height,Plant Height,cm,95.9,2025-04-30 16:34:59,0.937,Semi-automated,researcher_03,Heat,N/A,N/A,Demo measurement day 1 - Plant Height
DEMO_000029,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0365,Block2-Control-Rep03-Plant5,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#root_length,Root Length,cm,43.6,2025-04-30 20:37:30,0.969,Semi-automated,researcher_02,Control,N/A,N/A,Demo measurement day 1 - Root Length
DEMO_000030,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0555,Block2-Heat-Rep01-Plant5,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#plant_height,Plant Height,cm,61.4,2025-04-30 18:08:00,0.855,Manual,field_team,Heat,N/A,N/A,Demo measurement day 1 - Plant Height
DEMO_000031,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block5-high-n-rep05,Block5-High-N-Rep05,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#stem_diameter,Stem Diameter,mm,7.0,2025-04-30 16:39:11,0.924,Automated,researcher_01,High-N,5,5,Demo measurement day 1 - Stem Diameter
DEMO_000032,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0544,Block2-Low-N-Rep09-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#stomatal_conductance,Stomatal Conductance,mol/m²/s,0.28,2025-05-01 00:55:35,0.935,Manual,researcher_01,Low-N,N/A,N/A,Demo measurement day 1 - Stomatal Conductance
DEMO_000033,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0480,Block2-High-N-Rep06-Plant5,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#fresh_biomass,Fresh Biomass,g,557.58,2025-04-30 21:35:49,0.866,Manual,researcher_03,High-N,N/A,N/A,Demo measurement day 1 - Fresh Biomass
DEMO_000034,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0298,Block1-Cold-Rep10-Plant3,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#fresh_biomass,Fresh Biomass,g,506.6,2025-05-01 04:02:49,0.888,Semi-automated,researcher_01,Cold,N/A,N/A,Demo measurement day 1 - Fresh Biomass
DEMO_000035,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0038,Block1-Control-Rep08-Plant3,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_count,Leaf Count,count,36.0,2025-05-01 01:47:28,0.953,Semi-automated,field_team,Control,N/A,N/A,Demo measurement day 1 - Leaf Count
DEMO_000036,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0651,Block2-Salt-Rep01-Plant1,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#plant_height,Plant Height,cm,19.1,2025-04-30 16:01:38,0.858,Manual,researcher_03,Salt,N/A,N/A,Demo measurement day 1 - Plant Height
DEMO_000037,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block2-control-rep02,Block2-Control-Rep02,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_count,Leaf Count,count,20.0,2025-04-30 22:08:43,0.924,Semi-automated,sensor_system,Control,2,2,Demo measurement day 1 - Leaf Count
DEMO_000038,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0444,Block2-Drought-Rep09-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#dry_biomass,Dry Biomass,g,13.28,2025-04-30 20:04:28,0.907,Manual,researcher_01,Drought,N/A,N/A,Demo measurement day 1 - Dry Biomass
DEMO_000039,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0644,Block2-Cold-Rep09-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#dry_biomass,Dry Biomass,g,76.8,2025-04-30 17:11:09,0.925,Semi-automated,sensor_system,Cold,N/A,N/A,Demo measurement day 1 - Dry Biomass
DEMO_000040,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0177,Block1-Low-N-Rep06-Plant2,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_area_index,Leaf Area Index,m²/m²,6.46,2025-05-01 03:02:08,0.948,Manual,researcher_03,Low-N,N/A,N/A,Demo measurement day 1 - Leaf Area Index
DEMO_000041,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0127,Block1-High-N-Rep06-Plant2,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#plant_height,Plant Height,cm,81.0,2025-04-30 20:51:22,0.918,Semi-automated,researcher_01,High-N,N/A,N/A,Demo measurement day 1 - Plant Height
DEMO_000042,http://www.phenome-fppn.fr/platform/diaphen/2024/sensor-soil-12,Soil-Sensor-12,http://www.opensilex.org/vocabulary/oeso#SensingDevice,sensor,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#precipitation,Precipitation,mm,30.8,2025-04-30 17:22:12,0.921,Semi-automated,field_team,None,N/A,N/A,Demo measurement day 1 - Precipitation
DEMO_000043,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0277,Block1-Cold-Rep06-Plant2,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_count,Leaf Count,count,8.0,2025-04-30 22:47:41,0.947,Manual,researcher_02,Cold,N/A,N/A,Demo measurement day 1 - Leaf Count
DEMO_000044,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0169,Block1-Low-N-Rep04-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#stem_diameter,Stem Diameter,mm,4.0,2025-05-01 06:32:22,0.877,Manual,field_team,Low-N,N/A,N/A,Demo measurement day 1 - Stem Diameter
DEMO_000045,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0636,Block2-Cold-Rep08-Plant1,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_area_index,Leaf Area Index,m²/m²,5.04,2025-04-30 19:32:26,0.917,Remote sensing,researcher_03,Cold,N/A,N/A,Demo measurement day 1 - Leaf Area Index
DEMO_000046,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0827,Block3-High-N-Rep06-Plant2,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#fresh_biomass,Fresh Biomass,g,750.0,2025-05-01 03:45:33,0.951,Automated,sensor_system,High-N,N/A,N/A,Demo measurement day 1 - Fresh Biomass
DEMO_000047,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0695,Block2-Salt-Rep09-Plant5,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#water_use_efficiency,Water Use Efficiency,μmol/mmol,6.59,2025-05-01 01:45:05,0.922,Semi-automated,sensor_system,Salt,N/A,N/A,Demo measurement day 1 - Water Use Efficiency
DEMO_000048,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0999,Block3-Cold-Rep10-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_count,Leaf Count,count,53.0,2025-04-30 17:28:01,0.92,Semi-automated,researcher_02,Cold,N/A,N/A,Demo measurement day 1 - Leaf Count
DEMO_000049,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0285,Block1-Cold-Rep07-Plant5,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#plant_height,Plant Height,cm,20.5,2025-05-01 06:01:58,0.943,Automated,researcher_01,Cold,N/A,N/A,Demo measurement day 1 - Plant Height
DEMO_000050,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0672,Block2-Salt-Rep05-Plant2,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#water_use_efficiency,Water Use Efficiency,μmol/mmol,6.77,2025-04-30 22:47:20,0.897,Semi-automated,researcher_02,Salt,N/A,N/A,Demo measurement day 1 - Water Use Efficiency
DEMO_000051,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0083,Block1-Drought-Rep07-Plant3,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#plant_height,Plant Height,cm,36.7,2025-04-30 20:44:55,0.938,Remote sensing,sensor_system,Drought,N/A,N/A,Demo measurement day 1 - Plant Height
DEMO_000052,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0148,Block1-High-N-Rep10-Plant3,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#plant_height,Plant Height,cm,150.0,2025-05-01 00:25:45,0.881,Semi-automated,researcher_02,High-N,N/A,N/A,Demo measurement day 1 - Plant Height
DEMO_000054,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block6-cold-rep02,Block6-Cold-Rep02,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#fresh_biomass,Fresh Biomass,g,580.25,2025-04-30 20:44:10,0.961,Remote sensing,researcher_02,Cold,6,2,Demo measurement day 1 - Fresh Biomass
DEMO_000055,http://www.phenome-fppn.fr/platform/diaphen/2024/sensor-light-19,Light-Sensor-19,http://www.opensilex.org/vocabulary/oeso#SensingDevice,sensor,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#chlorophyll_content,Chlorophyll Content,SPAD,62.67,2025-04-30 20:13:04,0.955,Semi-automated,field_team,None,N/A,N/A,Demo measurement day 1 - Chlorophyll Content
DEMO_000056,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0308,Block1-Salt-Rep02-Plant3,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#root_length,Root Length,cm,44.3,2025-04-30 18:09:46,0.892,Semi-automated,researcher_02,Salt,N/A,N/A,Demo measurement day 1 - Root Length
DEMO_000057,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block1-salt-rep04,Block1-Salt-Rep04,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#stem_diameter,Stem Diameter,mm,22.0,2025-04-30 17:24:46,0.943,Semi-automated,researcher_01,Salt,1,4,Demo measurement day 1 - Stem Diameter
DEMO_000058,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0606,Block2-Cold-Rep02-Plant1,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#stem_diameter,Stem Diameter,mm,21.9,2025-05-01 05:01:36,0.88,Remote sensing,sensor_system,Cold,N/A,N/A,Demo measurement day 1 - Stem Diameter
DEMO_000061,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0899,Block3-Low-N-Rep10-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_area_index,Leaf Area Index,m²/m²,2.11,2025-05-01 03:10:41,0.946,Semi-automated,researcher_01,Low-N,N/A,N/A,Demo measurement day 1 - Leaf Area Index
DEMO_000062,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0451,Block2-High-N-Rep01-Plant1,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#root_length,Root Length,cm,22.2,2025-04-30 21:44:15,0.96,Remote sensing,sensor_system,High-N,N/A,N/A,Demo measurement day 1 - Root Length
DEMO_000063,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block2-low-n-rep05,Block2-Low-N-Rep05,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#light_intensity,Light Intensity,μmol/m²/s,1932.84,2025-05-01 06:14:57,0.958,Remote sensing,field_team,Low-N,2,5,Demo measurement day 1 - Light Intensity
DEMO_000064,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block7-cold-rep03,Block7-Cold-Rep03,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#dry_biomass,Dry Biomass,g,78.73,2025-04-30 19:33:18,0.939,Remote sensing,field_team,Cold,7,3,Demo measurement day 1 - Dry Biomass
DEMO_000065,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0726,Block3-Control-Rep06-Plant1,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_area_index,Leaf Area Index,m²/m²,7.83,2025-05-01 03:36:46,0.94,Automated,researcher_02,Control,N/A,N/A,Demo measurement day 1 - Leaf Area Index
DEMO_000066,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block2-low-n-rep02,Block2-Low-N-Rep02,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#chlorophyll_content,Chlorophyll Content,SPAD,52.42,2025-04-30 18:56:31,0.928,Remote sensing,field_team,Low-N,2,2,Demo measurement day 1 - Chlorophyll Content
DEMO_000067,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block7-low-n-rep01,Block7-Low-N-Rep01,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#chlorophyll_content,Chlorophyll Content,SPAD,53.75,2025-04-30 20:04:46,0.949,Remote sensing,researcher_01,Low-N,7,1,Demo measurement day 1 - Chlorophyll Content
DEMO_000068,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0730,Block3-Control-Rep06-Plant5,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#fresh_biomass,Fresh Biomass,g,633.16,2025-04-30 22:30:23,0.964,Semi-automated,field_team,Control,N/A,N/A,Demo measurement day 1 - Fresh Biomass
DEMO_000069,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block4-salt-rep09,Block4-Salt-Rep09,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#precipitation,Precipitation,mm,44.9,2025-04-30 22:34:35,0.9,Manual,field_team,Salt,4,9,Demo measurement day 1 - Precipitation
DEMO_000070,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0502,Block2-Low-N-Rep01-Plant2,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_area_index,Leaf Area Index,m²/m²,7.9,2025-04-30 19:32:42,0.882,Semi-automated,researcher_02,Low-N,N/A,N/A,Demo measurement day 1 - Leaf Area Index
DEMO_000071,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0367,Block2-Control-Rep04-Plant2,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#stomatal_conductance,Stomatal Conductance,mol/m²/s,0.55,2025-04-30 16:26:57,0.981,Automated,sensor_system,Control,N/A,N/A,Demo measurement day 1 - Stomatal Conductance
DEMO_000072,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block2-drought-rep02,Block2-Drought-Rep02,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#plant_height,Plant Height,cm,113.6,2025-04-30 19:20:22,0.965,Remote sensing,researcher_01,Drought,2,2,Demo measurement day 1 - Plant Height
DEMO_000073,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0708,Block3-Control-Rep02-Plant3,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_area_index,Leaf Area Index,m²/m²,3.0,2025-04-30 23:07:58,0.893,Manual,researcher_03,Control,N/A,N/A,Demo measurement day 1 - Leaf Area Index
DEMO_000074,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block7-salt-rep05,Block7-Salt-Rep05,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#water_use_efficiency,Water Use Efficiency,μmol/mmol,3.32,2025-04-30 19:09:48,0.887,Semi-automated,field_team,Salt,7,5,Demo measurement day 1 - Water Use Efficiency
DEMO_000075,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0212,Block1-Heat-Rep03-Plant2,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#water_use_efficiency,Water Use Efficiency,μmol/mmol,1.6,2025-04-30 20:54:19,0.87,Manual,researcher_01,Heat,N/A,N/A,Demo measurement day 1 - Water Use Efficiency
